uid	url	rating	tags
290	http://blog.nostr.ru/?p=54	0	
291	http://blog.nostr.ru/?p=57	0	
292	http://blog.nostr.ru/?p=59	0	
293	http://h34dump.com/2013/03/ructf-quals-2013-random-200/	3.0	
294	http://h34dump.com/2013/03/ructf-quals-2013-forensic-100/	0	
295	http://plus.google.com/u/0/113909201647043309179/posts/NSFxZzaPnnT	0	
296	http://h34dump.com/2013/03/ructf-quals-2013-web-300/	0	
297	http://f0rmer.blogspot.com/	0	
298	http://f0rmer.blogspot.com/	0	
299	https://peterpen-ctf.net/?p=551	0	
300	https://peterpen-ctf.net/?p=581	0	
301	http://worlds.fattest.cat/ctf/ructf-quals-vuln-300.html	0	
302	https://h34dump.com/2013/03/ructf-quals-2013-stegano-100/	0	
303	https://h34dump.com/2013/03/526/	0	
304	https://h34dump.com/2013/03/backdoorctf-2013-forensics-300	0	
305	http://h34dump.com/2013/03/ructf-quals-2013-mobile100/	0	
306	http://h4des.org/blog/index.php?/archives/333-ictf-2013-water-write-up.html	0	
307	http://www.blue-lotus.net/ictf-2013-curiosity-writeup/	0	
308	http://www.blue-lotus.net/ictf-2013-traintrain-writeup/	0	
309	https://alexbers.com/ictf2013/airplane/index.html	0	
310	https://rdot.org/forum/showthread.php?t=2671	0	
311	http://peterpen-ctf.net/?p=641	0	
312	http://peterpen-ctf.net/?p=610	0	
313	http://rep.github.com/ictf-2012-airplane-exploit.html	0	
314	http://darkbyte.ru/2013/70/ructf-2013-quals-other-writeups/	0	
315	http://darkbyte.ru/2013/70/ructf-2013-quals-other-writeups/	0	
316	http://magic-hat.ru/forum/viewtopic.php?pid=341#p341	0	
317	http://scoding.de/plaidctf-2013-writeup-cyrpto/	0	
318	http://codezen.fr/2013/04/22/plaidctf-2013-pwnable-200-ropasaurusrex-write-up/	0	
319	http://broot.ca/blog/plaidctf-compression-crypto-250	0	
320	http://broot.ca/blog/plaidctf-three-eyed-fish-binary-100	0	
321	http://f00l.de/blog/?p=1761	0	
322	http://f00l.de/blog/?p=1781	0	
323	http://wapiflapi.github.io/2013/04/22/plaidctf-pyjail-story-of-pythons-escape/	0	
324	http://f00l.de/blog/?p=1803	0	
325	https://blog.inexplicity.de/plaidctf-2013-pyjail-writeup-part-i-breaking-the-sandbox.html	0	
326	http://www.bases-hacking.org/servr-pctf2013.html	0	
327	http://www.bases-hacking.org/pork-pctf2013.html	0	
328	http://www.bases-hacking.org/ropasaurusrex-pctf2013.html	0	
329	https://isisblogs.poly.edu/2013/04/24/you-cant-stop-the-ropasaurus-rex-plaidctf-2013/	0	
330	http://pastie.org/7712575	0	
331	http://seg.fault.in/2013/04/plaidctf-2013-cone-250-write-up.html	0	
332	http://int3pids.blogspot.nl/2013/04/plaidctf-2013-drmless-binary-250-write.html	0	
333	http://int3pids.blogspot.nl/2013/04/plaidctf-2013-kavihk-binary-400-write-up.html	0	
334	http://www.blue-lotus.net/plaidctf-2013-bunyans_revenge-writeup/	0	
335	http://www.blue-lotus.net/plaidctf-2013-crypto-compression250-writeup/	0	
